1,0.1110116,4,1.336011
2,0.1705512,4.04,0.6937201
3,0.2300911,4.19,0.4286276
4,0.2896282,4.35,0.241901
5,0.3491694,4.58,0.1529344
6,0.4087091,4.86,0.1153263
1,0.6385453,6.08,1.330564
2,0.6980839,6.35,0.6817876
3,0.7576238,6.65,0.4253309
4,0.817164,6.92,0.2393429
5,0.8767033,7.19,0.1519786
6,0.9362417,7.43,0.1145003
1,1.08106,8.04,1.32688
2,1.140599,8.27,0.6774625
3,1.200141,8.55,0.4232992
4,1.259679,8.81,0.2363443
5,1.319218,9.07,0.1509186
6,1.378757,9.31,0.1124284
1,1.541254,10.01,1.317744
2,1.600795,10.25,0.6719271
3,1.660333,10.51,0.4216081
4,1.719873,10.76,0.2333096
5,1.779413,11,0.1498848
6,1.838952,11.23,0.1097322
1,2.035509,12.06,1.313429
2,2.095048,12.29,0.6662111
3,2.154588,12.54,0.4188127
4,2.214126,12.78,0.2300419
5,2.273667,13.03,0.1478379
6,2.333205,13.26,0.1056352
1,2.512603,14.01,1.310573
2,2.572143,14.23,0.6371713
3,2.631682,14.48,0.4146728
4,2.691222,14.73,0.2248633
5,2.750762,14.97,0.1458365
6,2.8103,15.2,0.1045495
1,3.006077,16.02,1.305797
2,3.065617,16.24,0.6051534
3,3.125157,16.48,0.4067632
4,3.184697,16.72,0.2205835
5,3.244235,16.97,0.1423631
6,3.303776,17.2,0.1018226
1,3.499551,18.01,1.293315
2,3.559091,18.24,0.6186587
3,3.61863,18.49,0.3983771
4,3.67817,18.73,0.2134422
5,3.73771,18.97,0.1385702
6,3.797248,19.2,0.1006824
1,4.010705,20.07,1.27667
2,4.070246,20.3,0.6119549
3,4.129786,20.54,0.3859407
4,4.189325,20.79,0.206551
5,4.248864,21.04,0.1343211
6,4.308403,21.27,9.892059E-02
1,4.48728,22.01,1.258519
2,4.54682,22.24,0.603755
3,4.606359,22.49,0.3807728
4,4.665898,22.73,0.1996176
5,4.725438,22.96,0.129606
6,4.784976,23.19,9.635391E-02
1,4.998435,24.04,1.236822
2,5.057973,24.29,0.587804
3,5.117513,24.53,0.3688177
4,5.177053,24.75,0.1926913
5,5.236593,24.99,0.1244808
6,5.296131,25.23,9.378988E-02
1,5.492688,26.01,1.215756
2,5.552228,26.25,0.5738789
3,5.611768,26.49,0.3540206
4,5.671308,26.72,0.1856699
5,5.730845,26.97,0.1198321
6,5.790384,27.22,9.128038E-02
1,5.986942,28.03,1.192504
2,6.046482,28.28,0.5568635
3,6.106023,28.53,0.3374971
4,6.165563,28.77,0.1782879
5,6.225101,29.01,0.1151941
6,6.28464,29.26,8.953863E-02
1,6.480417,30.04,1.160822
2,6.539957,30.29,0.5365867
3,6.599496,30.53,0.3226309
4,6.659036,30.76,0.1712275
5,6.718575,31.01,0.111023
6,6.778113,31.25,8.759629E-02
1,6.973892,32.04,1.136906
2,7.033432,32.28,0.5214568
3,7.092971,32.53,0.3087328
4,7.152511,32.76,0.1639623
5,7.212049,33,0.1073072
6,7.271589,33.25,8.522189E-02
1,7.468145,34.03,1.107572
2,7.527685,34.29,0.5040219
3,7.587224,34.53,0.2933317
4,7.646764,34.76,0.1562846
5,7.706302,35,0.1032193
6,7.765842,35.25,8.441299E-02
1,7.961618,36.03,1.071274
2,8.02116,36.28,0.4844212
3,8.080699,36.53,0.2795061
4,8.140238,36.75,0.1496237
5,8.199777,37,0.0997543
6,8.259316,37.25,8.176468E-02
1,8.455874,38.03,1.037996
2,8.515414,38.28,0.4641016
3,8.574953,38.52,0.2663634
4,8.634491,38.75,0.142801
5,8.694031,39,0.0965183
6,8.753571,39.24,8.121047E-02
1,8.949349,40,1.006325
2,9.008886,40.25,0.4454212
3,9.068426,40.43,0.2517232
4,9.127966,40.51,0.138394
5,9.187506,40.5,9.398271E-02
6,9.247044,40.44,7.973236E-02
